Year,farm_id,month,month_str,milking_cows,herd_size,milk_yield_litres,num_parlour_units,milkpump_type,vacuumpump_power_kw,VSD,coolingsystem_directexpansion,coolingsystem_icebank,coolingsystem_platecooler,coolingsystem_waterchillingunit,hotwash_freq,re_thermal_m3,hotwatertank_capacity_litres,bulktank_capacity_litres,waterheating_power_elec_kw,waterheating_power_gas_kw,waterheating_power_oil_kw,quantity_diesel_litres,quantity_petrol_litres,quantity_elec_kwh,re_solarpv_kw,re_wind_kw,res_capacity_kw,low_energy_lighting,night_rate_electricity,heat_recovery,green_electricity,milking_duration_hours,milking_frequency
2015,1,1,Jan,29,73,0,13,High Speed,2.6,no,yes,no,yes,no,OAD,0,300,5000,3,0,0,932,53,11793,7,0,11,no,no,no,no,2,twice a day milking
2015,1,2,Feb,55,83,12477,13,High Speed,2.6,no,yes,no,yes,no,OAD,0,300,5000,3,0,0,932,53,11793,7,0,11,no,no,no,no,2,twice a day milking
2015,1,3,Mar,68,78,19893,13,High Speed,2.6,no,yes,no,yes,no,OAD,0,300,5000,3,0,0,932,53,11793,7,0,11,no,no,no,no,2,twice a day milking
2015,1,4,Apr,94,100,54578,13,High Speed,2.6,no,yes,no,yes,no,OAD,0,300,5000,3,0,0,932,53,11793,7,0,11,no,no,no,no,2,twice a day milking
2015,1,5,May,97,100,62820,13,High Speed,2.6,no,yes,no,yes,no,OAD,0,300,5000,3,0,0,932,53,11793,7,0,11,no,no,no,no,2,twice a day milking
2015,1,6,Jun,101,101,62648,13,High Speed,2.6,no,yes,no,yes,no,OAD,0,300,5000,3,0,0,932,53,11793,7,0,11,no,no,no,no,2,twice a day milking
2015,1,7,Jul,99,99,55822,13,High Speed,2.6,no,yes,no,yes,no,OAD,0,300,5000,3,0,0,932,53,11793,7,0,11,no,no,no,no,2,twice a day milking
2015,1,8,Aug,99,99,50082,13,High Speed,2.6,no,yes,no,yes,no,OAD,0,300,5000,3,0,0,932,53,11793,7,0,11,no,no,no,no,2,twice a day milking
2015,1,9,Sep,99,99,44381,13,High Speed,2.6,no,yes,no,yes,no,OAD,0,300,5000,3,0,0,932,53,11793,7,0,11,no,no,no,no,2,twice a day milking
2015,1,10,Oct,99,99,44048,13,High Speed,2.6,no,yes,no,yes,no,OAD,0,300,5000,3,0,0,932,53,11793,7,0,11,no,no,no,no,2,twice a day milking
2015,1,11,nov,21,99,21251,13,High Speed,2.6,no,yes,no,yes,no,OAD,0,300,5000,3,0,0,932,53,11793,7,0,11,no,no,no,no,2,twice a day milking
2015,1,12,Dec,1,99,7499,13,High Speed,2.6,no,yes,no,yes,no,OAD,0,300,5000,3,0,0,932,53,11793,7,0,11,no,no,no,no,2,twice a day milking
2015,2,1,Jan,1,120,0,16,Variable Speed Pump,6,no,yes,no,yes,no,OAW,0,300,12750,3,0,0,48,166,13421,2,0,NaN,no,no,no,n/a,1.5,once a day milking
2015,2,2,Feb,67,127,1158,16,Variable Speed Pump,6,no,yes,no,yes,no,OAW,0,300,12750,3,0,0,48,166,13421,2,0,NaN,no,no,no,n/a,1.5,once a day milking
2015,2,3,Mar,121,141,42530,16,Variable Speed Pump,6,no,yes,no,yes,no,OAW,0,300,12750,3,0,0,48,166,13421,2,0,NaN,no,no,no,n/a,1.5,once a day milking
2015,2,4,Apr,136,145,94827,16,Variable Speed Pump,6,no,yes,no,yes,no,OAW,0,300,12750,3,0,0,48,166,13421,2,0,NaN,no,no,no,n/a,1.5,once a day milking
2015,2,5,May,146,148,95251,16,Variable Speed Pump,6,no,yes,no,yes,no,OAW,0,300,12750,3,0,0,48,166,13421,2,0,NaN,no,no,no,n/a,1.5,once a day milking
2015,2,6,Jun,145,147,93985,16,Variable Speed Pump,6,no,yes,no,yes,no,OAW,0,300,12750,3,0,0,48,166,13421,2,0,NaN,no,no,no,n/a,1.5,once a day milking
2015,2,7,Jul,145,147,87071,16,Variable Speed Pump,6,no,yes,no,yes,no,OAW,0,300,12750,3,0,0,48,166,13421,2,0,NaN,no,no,no,n/a,1.5,once a day milking
2015,2,8,Aug,146,148,69525,16,Variable Speed Pump,6,no,yes,no,yes,no,OAW,0,300,12750,3,0,0,48,166,13421,2,0,NaN,no,no,no,n/a,1.5,once a day milking
