DateTime,HerdID,MonthString,OrigMonthString,DairyCows_Total,MilkYield,TotalKWh,CoolingKWh,VacuumKWh,WaterHeatKWh,OtherKWh,CoolingType,IBDX,GWPHE,PHEProcedure
735631,20,Jan,Jan-14,93,0,NaN,NaN,NaN,NaN,NaN,DX Bulk Tank,DX,No,No PHE Pre-Cooling
735659,20,Feb,Feb-14,114,14566,1815.154292,283.070743,237.7775367,381.5361028,912.7699097,DX Bulk Tank,DX,No,No PHE Pre-Cooling
735690,20,Mar,Mar-14,120,51658,2656.139334,622.9038196,362.8505788,545.2219043,1125.163031,DX Bulk Tank,DX,No,No PHE Pre-Cooling
735720,20,Apr,Apr-14,108,70535,2560.344764,928.3908412,425.3697221,528.0552459,678.5289551,DX Bulk Tank,DX,No,No PHE Pre-Cooling
735751,20,May,May-14,105,92569,2461.913005,979.5178761,429.5160254,467.3311113,585.5479917,DX Bulk Tank,DX,No,No PHE Pre-Cooling
735781,20,Jun,Jun-14,105,68635,1975.785799,996.09125,384.5002431,302.4098611,292.7844444,DX Bulk Tank,DX,No,No PHE Pre-Cooling
735812,20,Jul,Jul-14,105,56624,2042.185988,858.6496083,359.0334316,519.5489247,304.9540233,DX Bulk Tank,DX,No,No PHE Pre-Cooling
735843,20,Aug,Aug-14,105,64554,1792.202016,765.8715294,373.8766387,319.0142473,333.4396007,DX Bulk Tank,DX,No,No PHE Pre-Cooling
735873,20,Sep,Sep-14,104,43647,1462.222091,669.6224893,322.3650886,201.5398611,268.694652,DX Bulk Tank,DX,No,No PHE Pre-Cooling
735904,20,Oct,Oct-14,104,36946,1602.776411,539.5435294,312.509879,232.3780578,518.3449451,DX Bulk Tank,DX,No,No PHE Pre-Cooling
735934,20,Nov,Nov-14,104,23372,1349.468403,243.5380125,185.8935047,210.4730556,709.56383,DX Bulk Tank,DX,No,No PHE Pre-Cooling
735965,20,Dec,Dec-14,104,0,941.5323253,0,0,132.2450834,809.2872419,DX Bulk Tank,DX,No,No PHE Pre-Cooling
735996,20,Jan,Jan-15,104,0,942.0901936,1.801209677,5.998373415,111.5829387,822.7076719,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736024,20,Feb,Feb-15,110,10855,1677.319805,239.7055493,267.986051,295.4393382,874.1888666,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736055,20,Mar,Mar-15,102,53832,2488.982691,726.3539421,414.4842129,468.5665372,879.5779989,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736085,20,Apr,Apr-15,100,67312,2187.348121,892.387527,423.4803241,379.1797621,492.300508,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736116,20,May,May-15,100,89062,2198.876747,1033.340975,458.7621513,318.9212773,387.852344,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736146,20,Jun,Jun-15,100,64225,2058.114375,981.8813889,407.5242098,273.0947917,395.6139846,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736177,20,Jul,Jul-15,100,58229,1978.028427,892.0986891,413.4164706,264.2774866,408.2357812,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736208,20,Aug,Aug-15,100,65235,1792.502117,765.8143145,391.194084,294.5978495,340.8958689,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736238,20,Sep,Sep-15,100,44081,1689.586458,713.9431747,366.181174,242.6684028,366.7937068,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736269,20,Oct,Oct-15,100,40365,1795.906116,616.5140457,363.4661513,245.865121,570.0607977,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736299,20,Nov,Nov-15,100,41489,1925.801017,471.2613899,346.3188318,286.1687189,822.0520765,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736330,20,Dec,Dec-15,96,12778,1075.761358,176.7642626,124.4023761,183.5616599,591.0330589,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736361,20,Jan,Jan-16,96,0,697.468414,0,2.603496974,154.5556975,540.3092195,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736390,20,Feb,Feb-16,114,18222,2167.178161,323.3481854,310.8347107,465.4341236,1067.561141,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736421,20,Mar,Mar-16,117,59510,3078.038614,903.7355127,479.0826218,624.1763345,1071.044145,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736451,20,Apr,Apr-16,114,58400,2708.84931,1034.607386,483.5388947,NaN,NaN,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736482,20,May,May-16,111,102773,2605.002158,1349.735971,488.4496403,348.4774873,418.3390595,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736512,20,Jun,Jun-16,111,74799,2332.197842,1277.564029,430.3503597,308.8956835,315.3877698,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736543,20,Jul,Jul-16,108,67185,1977.7,972.8,402.3,292.6,310,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736574,20,Aug,Aug-16,108,63648,1818.6,847.6,404.6,283.8,282.6,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736604,20,Sep,Sep-16,108,49909,1758.383333,729.1583333,385.902381,258.8142857,384.5083333,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736635,20,Oct,Oct-16,91,36726,1766.173368,592.679811,367.9739077,332.1403535,473.3792955,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736665,20,Nov,Nov-16,91,38942,1971.743299,457.7618557,366.9237113,357.1453608,789.9123711,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736696,20,Dec,Dec-16,91,10118,1586.6,266,222.2,297.8,800.6,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736727,20,Jan,Jan-17,91,0,822.1275,0,1.990476191,171.0433673,649.0936565,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736755,20,Feb,Feb-17,111,16402,1889.1725,259.8,203.1095238,504.3566327,921.9063435,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736786,20,Mar,Mar-17,117,56479,3326.768421,927.2789474,427.2,926.5631579,1045.726316,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736816,20,Apr,Apr-17,117,86169,3205.731579,1197.021053,497.3,809.9368421,701.4736842,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736847,20,May,May-17,114,105958,3307.6,1479.7,520,863.7,444.2,DX Bulk Tank,DX,No,No PHE Pre-Cooling
736877,20,Jun,Jun-17,114,85814,2868.8,1338,459.3,669.5,402,DX Bulk Tank,DX,No,No PHE Pre-Cooling
735631,1,Jan,Jan-14,71,1311,NaN,NaN,NaN,NaN,NaN,DX Bulk Tank + PHE (GW  SS/DS but only 1 stage used),DX,Yes,PHE GW Recycled
735659,1,Feb,Feb-14,73,14011,NaN,NaN,NaN,NaN,NaN,DX Bulk Tank + PHE (GW  SS/DS but only 1 stage used),DX,Yes,PHE GW Recycled
735690,1,Mar,Mar-14,79,25780,NaN,NaN,NaN,NaN,NaN,DX Bulk Tank + PHE (GW  SS/DS but only 1 stage used),DX,Yes,PHE GW Recycled
735720,1,Apr,Apr-14,72,40678,1450.910841,373.0767038,264.8595064,423.4346194,389.5400113,DX Bulk Tank + PHE (GW  SS/DS but only 1 stage used),DX,Yes,PHE GW Recycled
735751,1,May,May-14,72,46622,1380.527151,425.9721587,268.7707563,392.1317204,293.6525151,DX Bulk Tank + PHE (GW  SS/DS but only 1 stage used),DX,Yes,PHE GW Recycled
735781,1,Jun,Jun-14,71,51352,1395.268264,484.9047586,233.443001,354.6230903,322.297414,DX Bulk Tank + PHE (GW  SS/DS but only 1 stage used),DX,Yes,PHE GW Recycled
735812,1,Jul,Jul-14,71,43781,1319.843347,469.6411662,228.7563706,348.4170363,273.0287737,DX Bulk Tank + PHE (GW  SS/DS but only 1 stage used),DX,Yes,PHE GW Recycled
735843,1,Aug,Aug-14,71,39546,1290.700235,395.531271,234.6363697,379.7825882,280.7500063,DX Bulk Tank + PHE (GW  SS/DS but only 1 stage used),DX,Yes,PHE GW Recycled
735873,1,Sep,Sep-14,71,37308,1251.134271,342.0201078,223.8311925,375.3802951,309.9026754,DX Bulk Tank + PHE (GW  SS/DS but only 1 stage used),DX,Yes,PHE GW Recycled
735904,1,Oct,Oct-14,71,28409,1329.446573,241.0237391,230.8325378,405.2861391,452.3041566,DX Bulk Tank + PHE (GW  SS/DS but only 1 stage used),DX,Yes,PHE GW Recycled
735934,1,Nov,Nov-14,71,4221,966.4706944,35.14878388,46.94887114,207.2719444,677.101095,DX Bulk Tank + PHE (GW  SS/DS but only 1 stage used),DX,Yes,PHE GW Recycled
735965,1,Dec,Dec-14,71,0,480.6614583,0.200268998,0,19.31946218,461.1417272,DX Bulk Tank + PHE (GW  SS/DS but only 1 stage used),DX,Yes,PHE GW Recycled
